ID,提交时间,问卷版本,IP地址,国家,省份/地区,城市,就读阶段,AI经验,情绪表情,求助场景,痛点,期待人设,付费意愿,开场偏好,隐私偏好,开放反馈
survey-mq0t83tr-9y29d0,2026-06-05T11:01:59.000Z,2026.06.emoji_painpoint_v2,2a06:98c0:3600::103,US,California,San Jose,high_school,general_ai,😭|💤|🥺,relationship_dispute|puppy_love|highly_private,toxic_positivity,analyst|mentor,free,emoji_selector,user_controlled,
survey-mq0sre3u-hz47wd,2026-06-05T10:45:57.000Z,2026.06.emoji_painpoint_v2,,,,,high_school,general_ai,🫠,midnight_emo|relationship_dispute|social_fatigue|highly_private|existential_void,toxic_positivity|stiff_template|no_memory,mentor|professional,premium,soft_chitchat,neutral,
survey-mq0sneia-dngbwa,2026-06-05T10:44:51.000Z,2026.06.emoji_painpoint_v2,,,,,high_school,general_ai,😑,highly_private|existential_void|social_fatigue|puppy_love|relationship_dispute|academic_crash|midnight_emo,toxic_positivity|privacy_paranoia|stiff_template,listener|analyst,coffee,soft_chitchat,burn_after_reading,
survey-mq0socbs-y3016f,2026-06-05T10:43:39.000Z,2026.06.emoji_painpoint_v2,,,,,high_school,general_ai,😑,social_fatigue,stiff_template,listener,free,soft_chitchat,full_memory,
survey-mq0sniw6-kqns3n,2026-06-05T10:43:03.000Z,2026.06.emoji_painpoint_v2,,,,,high_school,never,🥺|😑|🖕,puppy_love,toxic_positivity|stiff_template,listener|analyst,coffee,emoji_selector,full_memory,
survey-mq0sgdpm-5uinae,2026-06-05T10:37:12.000Z,2026.06.emoji_painpoint_v2,,,,,high_school,general_ai,💥,existential_void|social_fatigue,no_memory|stiff_template,professional|joker,coffee,emoji_selector,user_controlled,
survey-mq0s204i-xgftu0,2026-06-05T10:25:25.000Z,2026.06.emoji_painpoint_v2,,,,,high_school,general_ai,🖕|🫠,midnight_emo|academic_crash|puppy_love|existential_void|highly_private,clinical_survey|no_memory|stiff_template|toxic_positivity,listener|joker,premium,emoji_selector,user_controlled,
survey-mpzogno9-22wm8s,2026-06-04T15:57:28.000Z,2026.06.emoji_painpoint_v2,,,,,,,😭|🥺|💤,existential_void,stiff_template,,,emoji_selector,,
survey-mpzmdcc4-f3t9ep,2026-06-04T14:58:33.000Z,2026.06.emoji_painpoint_v2,,,,,,,🖕,midnight_emo,toxic_positivity|clinical_survey|no_memory|stiff_template,,,emoji_selector,,"无"
survey-mpzmby8e-a2hgy7,2026-06-04T14:58:01.000Z,2026.06.emoji_painpoint_v2,,,,,,,😭|🖕|🤡,highly_private,no_memory,,,soft_chitchat,,
survey-mpzm6hde-sgnizm,2026-06-04T14:53:40.000Z,2026.06.emoji_painpoint_v2,,,,,,,🥺|😭|😑,midnight_emo|existential_void|highly_private,stiff_template|toxic_positivity|no_memory,,,clinical_scale,,
survey-mpzll8hl-mijxd0,2026-06-04T14:37:27.000Z,2026.06.emoji_painpoint_v2,,,,,,,💤,social_fatigue,toxic_positivity,,,soft_chitchat,,"更贴近人的情绪需求"
survey-mpzlll7w-3o3spk,2026-06-04T14:37:01.000Z,2026.06.emoji_painpoint_v2,,,,,,,😭|🤢|🫠,midnight_emo|highly_private,stiff_template|privacy_paranoia|clinical_survey,,,soft_chitchat,,
survey-mpzli6an-ov2vbw,2026-06-04T14:34:26.000Z,2026.06.emoji_painpoint_v2,,,,,,,😑,relationship_dispute|social_fatigue,toxic_positivity|no_memory|stiff_template,,,soft_chitchat,,
survey-mpzl81zk-4hl8wc,2026-06-04T14:26:33.000Z,2026.06.emoji_painpoint_v2,,,,,,,🫠|😑|💤,existential_void,toxic_positivity|stiff_template,,,clinical_scale,,
survey-mpzl5or5-kl7yvg,2026-06-04T14:24:28.000Z,2026.06.emoji_painpoint_v2,,,,,,,😭,midnight_emo|highly_private,toxic_positivity|clinical_survey|no_memory|stiff_template|privacy_paranoia,,,soft_chitchat,,"无"
survey-mpzl20qo-fw3k7h,2026-06-04T14:22:33.000Z,2026.06.emoji_painpoint_v2,,,,,,,🫠|💤|🖕,relationship_dispute|highly_private|social_fatigue,stiff_template|toxic_positivity,,,emoji_selector,,"不是那种完全套话"
survey-mpzl1yw9-rw2dv1,2026-06-04T14:21:31.000Z,2026.06.emoji_painpoint_v2,,,,,,,🥺,relationship_dispute|midnight_emo|social_fatigue,clinical_survey|toxic_positivity,,,soft_chitchat,,
survey-mpzkz19k-t9e1vx,2026-06-04T14:20:01.000Z,2026.06.emoji_painpoint_v2,,,,,,,🤡|😭|💀,highly_private|existential_void,no_memory|stiff_template,,,soft_chitchat,,"期待能更像人"
survey-mpzkz0wz-mykc1c,2026-06-04T14:19:49.000Z,2026.06.emoji_painpoint_v2,,,,,,,🖕,highly_private,privacy_paranoia,,,emoji_selector,,"无"
survey-mpzkzebv-8w90qs,2026-06-04T14:19:47.000Z,2026.06.emoji_painpoint_v2,,,,,,,🫠,social_fatigue|relationship_dispute|academic_crash|midnight_emo|existential_void|highly_private,no_memory,,,soft_chitchat,,
survey-mpzkyh7m-3xp6ta,2026-06-04T14:19:07.000Z,2026.06.emoji_painpoint_v2,,,,,,,💀|😭|🤢,midnight_emo|academic_crash|highly_private,toxic_positivity|no_memory|stiff_template,,,soft_chitchat,,
survey-mpzkynil-uj1f7f,2026-06-04T14:18:59.000Z,2026.06.emoji_painpoint_v2,,,,,,,🥺|🫠|🤢,academic_crash|relationship_dispute|social_fatigue|highly_private|midnight_emo,toxic_positivity|no_memory|stiff_template,,,clinical_scale,,
survey-mpzkyl4j-h5i8wk,2026-06-04T14:18:58.000Z,2026.06.emoji_painpoint_v2,,,,,,,😭,midnight_emo|relationship_dispute|social_fatigue|existential_void,stiff_template|toxic_positivity,,,emoji_selector,,
survey-mpzkvur5-1a8tkh,2026-06-04T14:17:54.000Z,2026.06.emoji_painpoint_v2,,,,,,,🫠,relationship_dispute|highly_private,privacy_paranoia,,,soft_chitchat,,"辅导时可以多给一点当下能做的一些微小能缓解压力行为的建议"
survey-mpzkvyx2-d39i5v,2026-06-04T14:17:34.000Z,2026.06.emoji_painpoint_v2,,,,,,,😑,existential_void|midnight_emo,toxic_positivity|stiff_template,,,soft_chitchat,,"不要太套路化了，感觉每次都能猜到ai说什么"
survey-mpzkv55e-dtc907,2026-06-04T14:17:00.000Z,2026.06.emoji_painpoint_v2,,,,,,,😭,social_fatigue|existential_void|highly_private,toxic_positivity|clinical_survey|no_memory|stiff_template,,,emoji_selector,,"可以更像真人实际对话而不是一味的安慰还有帮你分析，可以理性但不能太理性，要感性"
survey-mpzkutu9-zwl7gc,2026-06-04T14:16:07.000Z,2026.06.emoji_painpoint_v2,,,,,,,😭,midnight_emo|academic_crash|social_fatigue|existential_void|highly_private,toxic_positivity,,,soft_chitchat,,"无"
survey-mpzkucts-45vnr5,2026-06-04T14:16:04.000Z,2026.06.emoji_painpoint_v2,,,,,,,🤢,social_fatigue,no_memory,,,clinical_scale,,
survey-mpzkeh9g-vgf0bb,2026-06-04T14:03:20.000Z,2026.06.emoji_painpoint_v2,,,,,,,💤,relationship_dispute,clinical_survey,,,emoji_selector,,
survey-mpzizofu-ij6qww,2026-06-04T13:23:17.000Z,2026.06.emoji_painpoint_v2,,,,,,,🤢|🥺|😭,existential_void|social_fatigue|relationship_dispute|academic_crash|midnight_emo|highly_private,privacy_paranoia|stiff_template|no_memory|clinical_survey|toxic_positivity,,,emoji_selector,,
survey-mpzipk08-345grm,2026-06-04T13:15:23.000Z,2026.06.emoji_painpoint_v2,,,,,,,🤢|😑|🖕,relationship_dispute|midnight_emo|social_fatigue|existential_void,stiff_template|privacy_paranoia|no_memory|clinical_survey|toxic_positivity,,,emoji_selector,,
survey-mpzimusk-8isibf,2026-06-04T13:13:23.000Z,2026.06.emoji_painpoint_v2,,,,,,,🖕|🤡|😑,relationship_dispute|academic_crash,privacy_paranoia|stiff_template|no_memory|toxic_positivity|clinical_survey,,,soft_chitchat,,
survey-mpzdp2lc-pmqr4j,2026-06-04T10:55:36.000Z,2026.06.emoji_painpoint_v2,,,,,,,🖕|🫠|🤡,relationship_dispute,stiff_template,,,soft_chitchat,,
survey-mpzcm35u-of352n,2026-06-04T10:24:52.000Z,2026.06.emoji_painpoint_v2,,,,,,,🖕|💀|💤,midnight_emo|relationship_dispute|social_fatigue,stiff_template|privacy_paranoia,,,emoji_selector,,
survey-mpzavcui-dbijdm,2026-06-04T09:36:03.000Z,2026.06.emoji_painpoint_v2,,,,,,,🖕,relationship_dispute|highly_private,toxic_positivity|privacy_paranoia|stiff_template,,,clinical_scale,,
survey-mpzao0xa-c0qahd,2026-06-04T09:31:25.000Z,2026.06.emoji_painpoint_v2,,,,,,,💤|🤢|🖕,relationship_dispute|highly_private|academic_crash,privacy_paranoia|no_memory|toxic_positivity,,,emoji_selector,,
survey-mpzani0e-70xvw4,2026-06-04T09:29:59.000Z,2026.06.emoji_painpoint_v2,,,,,,,💤|🖕|🤡,midnight_emo|social_fatigue|existential_void|highly_private,clinical_survey|no_memory|privacy_paranoia|stiff_template,,,emoji_selector,,
survey-mpzak40h-1idgjo,2026-06-04T09:29:35.000Z,2026.06.emoji_painpoint_v2,,,,,,,🖕|🤢|🥺,midnight_emo|academic_crash|relationship_dispute,privacy_paranoia|no_memory|toxic_positivity|clinical_survey|stiff_template,,,soft_chitchat,,
survey-mpzajc6g-madb11,2026-06-04T09:26:52.000Z,2026.06.emoji_painpoint_v2,,,,,,,🖕,highly_private|social_fatigue|relationship_dispute,toxic_positivity|no_memory|stiff_template,,,emoji_selector,,"没有"
survey-mpzad64o-hj00hv,2026-06-04T09:22:07.000Z,2026.06.emoji_painpoint_v2,,,,,,,🖕,midnight_emo|academic_crash|relationship_dispute|social_fatigue|existential_void|highly_private,clinical_survey|no_memory|privacy_paranoia,,,emoji_selector,,
survey-mpz9zr4a-sa193n,2026-06-04T09:18:07.000Z,2026.06.emoji_painpoint,,,,,,,🖕|🥺|🫠,highly_private|existential_void|academic_crash,privacy_paranoia|toxic_positivity|clinical_survey,,,emoji_selector,,
